date,wasserstein_distance,beta0,beta1,beta2,lp2_distance
2019-01-04 00:00:00,0.736804187297821,5,1,0,2.0
2019-01-07 00:00:00,0.5831362903118134,5,1,0,0.5
2019-01-08 00:00:00,0.5491373240947723,5,1,0,0.5
2019-01-09 00:00:00,0.5301138162612915,4,1,0,2.0
2019-01-10 00:00:00,0.6219216585159302,5,0,0,0.5
2019-01-11 00:00:00,0.5544008314609528,7,0,0,0.5
2019-01-14 00:00:00,0.6388216912746429,7,0,0,0.5
2019-01-15 00:00:00,0.7928056120872498,7,0,0,0.5
2019-01-16 00:00:00,0.9655784368515015,6,0,0,0.5
2019-01-17 00:00:00,0.9390106201171875,6,0,0,1.0
2019-01-18 00:00:00,0.9482786953449249,5,0,0,1.0
2019-01-22 00:00:00,1.059749275445938,5,0,0,2.5
2019-01-23 00:00:00,1.2156833410263062,5,0,0,0.5
2019-01-24 00:00:00,1.082080990076065,5,0,0,0.0
2019-01-25 00:00:00,0.7856413722038269,5,0,0,0.0
2019-01-28 00:00:00,0.7799377143383026,5,0,0,0.5
2019-01-29 00:00:00,0.8556955754756927,6,0,0,1.0
2019-01-30 00:00:00,0.880001038312912,5,0,0,1.0
2019-01-31 00:00:00,0.9147058427333832,4,0,0,5.0
2019-02-01 00:00:00,0.8946398198604584,4,0,0,2.5
2019-02-04 00:00:00,0.94693723320961,4,0,0,2.5
2019-02-05 00:00:00,0.7898813486099243,4,0,0,1.0
2019-02-06 00:00:00,0.7824700772762299,4,0,0,1.0
2019-02-07 00:00:00,0.6905830502510071,4,0,0,1.0
2019-02-08 00:00:00,0.6246149241924286,3,0,0,1.0
2019-02-11 00:00:00,0.7550242841243744,3,0,0,2.0
2019-02-12 00:00:00,0.749740481376648,3,0,0,8.0
2019-02-13 00:00:00,0.8238972425460815,3,0,0,8.0
2019-02-14 00:00:00,0.8565416038036346,3,0,0,8.0
2019-02-15 00:00:00,0.9343777298927307,3,0,0,4.5
2019-02-19 00:00:00,0.8983418345451355,3,0,0,4.5
2019-02-20 00:00:00,1.0133430361747742,2,0,0,4.5
2019-02-21 00:00:00,1.075299859046936,2,0,0,4.5
2019-02-22 00:00:00,1.05552276968956,2,0,0,4.5
2019-02-25 00:00:00,1.0733813643455505,2,0,0,4.5
2019-02-26 00:00:00,1.237245887517929,2,0,0,4.5
2019-02-27 00:00:00,1.630084365606308,1,0,0,8.0
2019-02-28 00:00:00,1.6819486021995544,1,0,0,12.5
2019-03-01 00:00:00,1.508891224861145,1,0,0,8.0
2019-03-04 00:00:00,1.221759170293808,1,0,0,4.5
2019-03-05 00:00:00,1.239452600479126,1,0,0,4.5
2019-03-06 00:00:00,1.4377737939357758,1,0,0,4.5
2019-03-07 00:00:00,1.5492150783538818,1,0,0,4.5
2019-03-08 00:00:00,1.6595534086227417,1,0,0,4.5
2019-03-11 00:00:00,1.79339799284935,1,0,0,4.5
2019-03-12 00:00:00,1.4960338473320007,1,0,0,2.0
2019-03-13 00:00:00,1.45058274269104,1,0,0,2.0
2019-03-14 00:00:00,1.5549212396144867,1,0,0,2.0
2019-03-15 00:00:00,1.6600046157836914,1,0,0,2.0
2019-03-18 00:00:00,1.5660605728626251,1,0,0,2.0
2019-03-19 00:00:00,1.32821923494339,2,0,0,0.5
2019-03-20 00:00:00,1.2377740144729614,2,0,0,0.5
2019-03-21 00:00:00,1.118189662694931,2,0,0,0.0
2019-03-22 00:00:00,0.8256585597991943,2,0,0,0.0
2019-03-25 00:00:00,0.8375834822654724,2,0,0,0.0
2019-03-26 00:00:00,0.9665828943252563,2,0,0,0.0
2019-03-27 00:00:00,0.9762008190155029,2,0,0,0.0
2019-03-28 00:00:00,0.8724279403686523,2,0,0,0.5
2019-03-29 00:00:00,0.9064238369464874,2,0,0,0.5
2019-04-01 00:00:00,0.9692482948303223,2,0,0,0.5
2019-04-02 00:00:00,0.9619720876216888,3,0,0,2.0
2019-04-03 00:00:00,0.9743244647979736,3,0,0,2.0
2019-04-04 00:00:00,0.9301374852657318,3,0,0,2.0
2019-04-05 00:00:00,0.7687084078788757,2,0,0,0.5
2019-04-08 00:00:00,0.6975234150886536,2,0,0,0.5
2019-04-09 00:00:00,0.5370922982692719,2,0,0,0.5
2019-04-10 00:00:00,0.4056447446346283,2,0,0,0.5
2019-04-11 00:00:00,0.42630258202552795,2,0,0,0.5
2019-04-12 00:00:00,0.40721505880355835,2,0,0,0.5
2019-04-15 00:00:00,0.4766213297843933,2,0,0,0.5
2019-04-16 00:00:00,0.36252543330192566,1,0,0,0.0
2019-04-17 00:00:00,0.39725592732429504,1,0,0,0.5
2019-04-18 00:00:00,0.3531419634819031,1,0,0,0.5
2019-04-22 00:00:00,0.32105422019958496,1,0,0,0.5
2019-04-23 00:00:00,0.3243863582611084,1,0,0,0.5
2019-04-24 00:00:00,0.46490052342414856,1,0,0,0.5
2019-04-25 00:00:00,0.5130032300949097,1,0,0,0.5
2019-04-26 00:00:00,0.5846165120601654,1,0,0,0.5
2019-04-29 00:00:00,0.6695738434791565,2,0,0,0.0
2019-04-30 00:00:00,0.7886722087860107,2,0,0,0.0
2019-05-01 00:00:00,0.8838787078857422,2,0,0,0.0
2019-05-02 00:00:00,0.9306397438049316,2,0,0,0.5
2019-05-03 00:00:00,1.271043449640274,2,0,0,0.5
2019-05-06 00:00:00,1.3731878101825714,3,0,0,0.0
2019-05-07 00:00:00,1.3313554525375366,3,0,0,0.5
2019-05-08 00:00:00,1.4906803965568542,3,1,0,1.0
2019-05-09 00:00:00,1.4760911464691162,3,1,0,1.0
2019-05-10 00:00:00,1.5247581005096436,3,1,0,1.0
2019-05-13 00:00:00,1.4619143605232239,3,0,0,0.5
2019-05-14 00:00:00,1.1676079034805298,3,0,0,0.5
2019-05-15 00:00:00,1.0040751695632935,2,0,0,0.0
2019-05-16 00:00:00,1.1235044598579407,2,0,0,0.5
2019-05-17 00:00:00,1.1126949191093445,2,0,0,0.5
2019-05-20 00:00:00,1.0023881494998932,2,0,0,0.5
2019-05-21 00:00:00,0.9230867326259613,2,0,0,0.5
2019-05-22 00:00:00,0.585613340139389,2,0,0,0.5
2019-05-23 00:00:00,0.523541122674942,1,0,0,0.0
2019-05-24 00:00:00,0.4241209328174591,1,0,0,0.0
2019-05-28 00:00:00,0.39619624614715576,1,0,0,0.0
2019-05-29 00:00:00,0.3633911609649658,1,0,0,0.5
2019-05-30 00:00:00,0.3151589334011078,2,0,0,0.0
2019-05-31 00:00:00,0.33799052238464355,2,0,0,0.0
2019-06-03 00:00:00,0.4225040078163147,2,0,0,0.0
2019-06-04 00:00:00,0.4045606255531311,2,0,0,0.0
2019-06-05 00:00:00,0.3512524366378784,2,0,0,0.5
2019-06-06 00:00:00,0.39954233169555664,2,0,0,0.5
2019-06-07 00:00:00,0.6734347641468048,2,0,0,1.0
2019-06-10 00:00:00,0.7268224060535431,2,0,0,1.0
2019-06-11 00:00:00,0.7845686972141266,1,0,0,2.5
